"","Genus_Species","Common Name","Genus","Species","Tribe","Subfamily","Family","n","ows"
"1051","Anthocharis thoosa",NA,"Anthocharis","thoosa","Anthocharidini","Pierinae","Pieridae",1,NA
"1052","Anthophila alpinella",NA,"Anthophila","alpinella",NA,"Choreutinae","Choreutidae",1,NA
"1053","Anthophila fabriciana",NA,"Anthophila","fabriciana",NA,"Choreutinae","Choreutidae",1,NA
"1054","Anthophila plenicarinata",NA,"Anthophila","plenicarinata",NA,"Choreutinae","Choreutidae",1,NA
"1055","Antiblemma carolae",NA,"Antiblemma","carolae",NA,"Eulepidotinae","Erebidae",1,NA
"1056","Antiblemma filaria",NA,"Antiblemma","filaria",NA,"Eulepidotinae","Erebidae",1,NA
"1057","Antiblemma perva",NA,"Antiblemma","perva",NA,"Eulepidotinae","Erebidae",1,NA
"1058","Antiblemma rufinans",NA,"Antiblemma","rufinans",NA,"Eulepidotinae","Erebidae",1,NA
"1059","Anticarsia gemmatalis","Velvetbean Caterpillar Moth","Anticarsia","gemmatalis",NA,"Eulepidotinae","Erebidae",1,NA
"1060","Anticlea multiferata","Many-lined Carpet Moth","Anticlea","multiferata","Hydriomenini","Larentiinae","Geometridae",1,NA
"1061","Anticlea pectinata",NA,"Anticlea","pectinata","Hydriomenini","Larentiinae","Geometridae",1,NA
"1062","Anticlea switzeraria",NA,"Anticlea","switzeraria","Hydriomenini","Larentiinae","Geometridae",1,NA
"1063","Anticlea vasiliata","Variable Carpet Moth","Anticlea","vasiliata","Hydriomenini","Larentiinae","Geometridae",1,NA
"1064","Antigastra catalaunalis","Sesame Leafroller Moth","Antigastra","catalaunalis",NA,"Spilomelinae","Crambidae",1,NA
"1065","Antigonus emorsa",NA,"Antigonus","emorsa","Pyrgini","Pyrginae","Hesperiidae",1,NA
"1066","Antigonus erosus",NA,"Antigonus","erosus","Pyrgini","Pyrginae","Hesperiidae",1,NA
"1067","Antiphoides errantaria",NA,"Antiphoides","errantaria","Melanolophiini","Ennominae","Geometridae",1,NA
"1068","Antiplecta triangularis",NA,"Antiplecta","triangularis",NA,"Epipleminae","Uraniidae",1,NA
"1069","Antispila ampelopsifoliella",NA,"Antispila","ampelopsifoliella",NA,"[Heliozelinae]","Heliozelidae",1,NA
"1070","Antispila argentifera",NA,"Antispila","argentifera",NA,"[Heliozelinae]","Heliozelidae",1,NA
"1071","Antispila aurirubra",NA,"Antispila","aurirubra",NA,"[Heliozelinae]","Heliozelidae",1,NA
"1072","Antispila cornifoliella",NA,"Antispila","cornifoliella",NA,"[Heliozelinae]","Heliozelidae",1,NA
"1073","Antispila eugeniella",NA,"Antispila","eugeniella",NA,"[Heliozelinae]","Heliozelidae",1,NA
"1074","Antispila freemani",NA,"Antispila","freemani",NA,"[Heliozelinae]","Heliozelidae",1,NA
"1075","Antispila hydrangaeella",NA,"Antispila","hydrangaeella",NA,"[Heliozelinae]","Heliozelidae",1,NA
"1076","Antispila isabella",NA,"Antispila","isabella",NA,"[Heliozelinae]","Heliozelidae",1,NA
"1077","Antispila nysaefoliella","Tupelo Leafminer Moth","Antispila","nysaefoliella",NA,"[Heliozelinae]","Heliozelidae",1,NA
"1078","Antispila oinophylla",NA,"Antispila","oinophylla",NA,"[Heliozelinae]","Heliozelidae",1,NA
"1079","Antispila viticordifoliella",NA,"Antispila","viticordifoliella",NA,"[Heliozelinae]","Heliozelidae",1,NA
"1080","Antispila voraginella",NA,"Antispila","voraginella",NA,"[Heliozelinae]","Heliozelidae",1,NA
"1081","Anurapteryx crenulata",NA,"Anurapteryx","crenulata",NA,"Sematurinae","Sematuridae",1,NA
"1082","Anycteola fotelloides",NA,"Anycteola","fotelloides","Psaphidini","Amphipyrinae","Noctuidae",1,NA
"1083","Anypsipyla univitella",NA,"Anypsipyla","univitella","Phycitini","Phycitinae","Pyralidae",1,NA
"1084","Aon noctuiformis","Aon Moth","Aon","noctuiformis",NA,"Hypocalinae","Erebidae",1,NA
"1085","Apachea barberella",NA,"Apachea","barberella",NA,"Depressariinae","Depressariidae",1,NA
"1086","Apamea acera",NA,"Apamea","acera","Apameini","Noctuinae","Noctuidae",1,NA
"1087","Apamea albina",NA,"Apamea","albina","Apameini","Noctuinae","Noctuidae",1,NA
"1088","Apamea alia",NA,"Apamea","alia","Apameini","Noctuinae","Noctuidae",1,NA
"1089","Apamea alticola",NA,"Apamea","alticola","Apameini","Noctuinae","Noctuidae",1,NA
"1090","Apamea amputatrix","Yellow-headed Cutworm Moth","Apamea","amputatrix","Apameini","Noctuinae","Noctuidae",1,NA
"1091","Apamea antennata",NA,"Apamea","antennata","Apameini","Noctuinae","Noctuidae",1,NA
"1092","Apamea apamiformis","Rice Worm Moth","Apamea","apamiformis","Apameini","Noctuinae","Noctuidae",1,NA
"1093","Apamea atriclava",NA,"Apamea","atriclava","Apameini","Noctuinae","Noctuidae",1,NA
"1094","Apamea atrosuffusa",NA,"Apamea","atrosuffusa","Apameini","Noctuinae","Noctuidae",1,NA
"1095","Apamea auranticolor",NA,"Apamea","auranticolor","Apameini","Noctuinae","Noctuidae",1,NA
"1096","Apamea bernardino",NA,"Apamea","bernardino","Apameini","Noctuinae","Noctuidae",1,NA
"1097","Apamea burgessi",NA,"Apamea","burgessi","Apameini","Noctuinae","Noctuidae",1,NA
"1098","Apamea cariosa",NA,"Apamea","cariosa","Apameini","Noctuinae","Noctuidae",1,NA
"1099","Apamea centralis",NA,"Apamea","centralis","Apameini","Noctuinae","Noctuidae",1,NA
"1100","Apamea cinefacta",NA,"Apamea","cinefacta","Apameini","Noctuinae","Noctuidae",1,NA
"1101","Apamea cogitata","Thoughtful Apamea Moth","Apamea","cogitata","Apameini","Noctuinae","Noctuidae",1,NA
"1102","Apamea commoda",NA,"Apamea","commoda","Apameini","Noctuinae","Noctuidae",1,NA
"1103","Apamea contradicta",NA,"Apamea","contradicta","Apameini","Noctuinae","Noctuidae",1,NA
"1104","Apamea cristata",NA,"Apamea","cristata","Apameini","Noctuinae","Noctuidae",1,NA
"1105","Apamea cuculliformis",NA,"Apamea","cuculliformis","Apameini","Noctuinae","Noctuidae",1,NA
"1106","Apamea devastator","Glassy Cutworm Moth","Apamea","devastator","Apameini","Noctuinae","Noctuidae",1,NA
"1107","Apamea digitula",NA,"Apamea","digitula","Apameini","Noctuinae","Noctuidae",1,NA
"1108","Apamea dubitans","Doubtful Apamea Moth","Apamea","dubitans","Apameini","Noctuinae","Noctuidae",1,NA
"1109","Apamea fergusoni",NA,"Apamea","fergusoni","Apameini","Noctuinae","Noctuidae",1,NA
"1110","Apamea geminimacula",NA,"Apamea","geminimacula","Apameini","Noctuinae","Noctuidae",1,NA
"1111","Apamea genialis",NA,"Apamea","genialis","Apameini","Noctuinae","Noctuidae",1,NA
"1112","Apamea helva","Yellow Three-Spot Moth","Apamea","helva","Apameini","Noctuinae","Noctuidae",1,NA
"1113","Apamea impulsa",NA,"Apamea","impulsa","Apameini","Noctuinae","Noctuidae",1,NA
"1114","Apamea indocilis","Ignorant Apamea Moth","Apamea","indocilis","Apameini","Noctuinae","Noctuidae",1,NA
"1115","Apamea inebriata",NA,"Apamea","inebriata","Apameini","Noctuinae","Noctuidae",1,NA
"1116","Apamea inficita","Lined Quaker Moth","Apamea","inficita","Apameini","Noctuinae","Noctuidae",1,NA
"1117","Apamea inordinata",NA,"Apamea","inordinata","Apameini","Noctuinae","Noctuidae",1,NA
"1118","Apamea lignicolora","Wood-colored Apamea Moth","Apamea","lignicolora","Apameini","Noctuinae","Noctuidae",1,NA
"1119","Apamea lintneri","Sand Wainscot Moth","Apamea","lintneri","Apameini","Noctuinae","Noctuidae",1,NA
"1120","Apamea longula",NA,"Apamea","longula","Apameini","Noctuinae","Noctuidae",1,NA
"1121","Apamea lutosa",NA,"Apamea","lutosa","Apameini","Noctuinae","Noctuidae",1,NA
"1122","Apamea maxima",NA,"Apamea","maxima","Apameini","Noctuinae","Noctuidae",1,NA
"1123","Apamea nigrior","Black-dashed Apamea Moth","Apamea","nigrior","Apameini","Noctuinae","Noctuidae",1,NA
"1124","Apamea niveivenosa","Snowy-veined Apamea Moth","Apamea","niveivenosa","Apameini","Noctuinae","Noctuidae",1,NA
"1125","Apamea occidens","Western Apamea Moth","Apamea","occidens","Apameini","Noctuinae","Noctuidae",1,NA
"1126","Apamea pallifera",NA,"Apamea","pallifera","Apameini","Noctuinae","Noctuidae",1,NA
"1127","Apamea perpensa",NA,"Apamea","perpensa","Apameini","Noctuinae","Noctuidae",1,NA
"1128","Apamea plutonia","Dusky Apamea Moth","Apamea","plutonia","Apameini","Noctuinae","Noctuidae",1,NA
"1129","Apamea quinteri",NA,"Apamea","quinteri","Apameini","Noctuinae","Noctuidae",1,NA
"1130","Apamea relicina",NA,"Apamea","relicina","Apameini","Noctuinae","Noctuidae",1,NA
"1131","Apamea remissa",NA,"Apamea","remissa","Apameini","Noctuinae","Noctuidae",1,NA
"1132","Apamea robertsoni",NA,"Apamea","robertsoni","Apameini","Noctuinae","Noctuidae",1,NA
"1133","Apamea rubrirena",NA,"Apamea","rubrirena","Apameini","Noctuinae","Noctuidae",1,NA
"1134","Apamea scoparia",NA,"Apamea","scoparia","Apameini","Noctuinae","Noctuidae",1,NA
"1135","Apamea siskiyou",NA,"Apamea","siskiyou","Apameini","Noctuinae","Noctuidae",1,NA
"1136","Apamea smythi",NA,"Apamea","smythi","Apameini","Noctuinae","Noctuidae",1,NA
"1137","Apamea sora",NA,"Apamea","sora","Apameini","Noctuinae","Noctuidae",1,NA
"1138","Apamea sordens","Bordered Apamea Moth","Apamea","sordens","Apameini","Noctuinae","Noctuidae",1,NA
"1139","Apamea spaldingi",NA,"Apamea","spaldingi","Apameini","Noctuinae","Noctuidae",1,NA
"1140","Apamea tahoeensis",NA,"Apamea","tahoeensis","Apameini","Noctuinae","Noctuidae",1,NA
"1141","Apamea unanimis","Small Clouded Brindle Moth","Apamea","unanimis","Apameini","Noctuinae","Noctuidae",1,NA
"1142","Apamea unita",NA,"Apamea","unita","Apameini","Noctuinae","Noctuidae",1,NA
"1143","Apamea verbascoides",NA,"Apamea","verbascoides","Apameini","Noctuinae","Noctuidae",1,NA
"1144","Apamea vulgaris","Common Apamea Moth","Apamea","vulgaris","Apameini","Noctuinae","Noctuidae",1,NA
"1145","Apamea vultuosa","Airy Apamea Moth","Apamea","vultuosa","Apameini","Noctuinae","Noctuidae",1,NA
"1146","Apamea walshi",NA,"Apamea","walshi","Apameini","Noctuinae","Noctuidae",1,NA
"1147","Apamea wikeri",NA,"Apamea","wikeri","Apameini","Noctuinae","Noctuidae",1,NA
"1148","Apamea xylodes",NA,"Apamea","xylodes","Apameini","Noctuinae","Noctuidae",1,NA
"1149","Apamea zeta",NA,"Apamea","zeta","Apameini","Noctuinae","Noctuidae",1,NA
"1150","Apantesis allectans",NA,"Apantesis","allectans","Arctiini","Arctiinae","Erebidae",1,NA
"1151","Apantesis anna","Anna Tiger Moth","Apantesis","anna","Arctiini","Arctiinae","Erebidae",1,NA
"1152","Apantesis arge","Arge Moth","Apantesis","arge","Arctiini","Arctiinae","Erebidae",1,NA
"1153","Apantesis arizoniensis",NA,"Apantesis","arizoniensis","Arctiini","Arctiinae","Erebidae",1,NA
"1154","Apantesis behrii",NA,"Apantesis","behrii","Arctiini","Arctiinae","Erebidae",1,NA
"1155","Apantesis blakei",NA,"Apantesis","blakei","Arctiini","Arctiinae","Erebidae",1,NA
"1156","Apantesis bolanderi",NA,"Apantesis","bolanderi","Arctiini","Arctiinae","Erebidae",1,NA
"1157","Apantesis bowmani",NA,"Apantesis","bowmani","Arctiini","Arctiinae","Erebidae",1,NA
"1158","Apantesis brillians",NA,"Apantesis","brillians","Arctiini","Arctiinae","Erebidae",1,NA
"1159","Apantesis carlotta","Carlotta's Tiger Moth","Apantesis","carlotta","Arctiini","Arctiinae","Erebidae",1,NA
"1160","Apantesis cervinoides",NA,"Apantesis","cervinoides","Arctiini","Arctiinae","Erebidae",1,NA
"1161","Apantesis complicata",NA,"Apantesis","complicata","Arctiini","Arctiinae","Erebidae",1,NA
"1162","Apantesis doris","Doris Tiger Moth","Apantesis","doris","Arctiini","Arctiinae","Erebidae",1,NA
"1163","Apantesis edwardsii",NA,"Apantesis","edwardsii","Arctiini","Arctiinae","Erebidae",1,NA
"1164","Apantesis elongata",NA,"Apantesis","elongata","Arctiini","Arctiinae","Erebidae",1,NA
"1165","Apantesis eureka",NA,"Apantesis","eureka","Arctiini","Arctiinae","Erebidae",1,NA
"1166","Apantesis f-pallida",NA,"Apantesis","f-pallida","Arctiini","Arctiinae","Erebidae",1,NA
"1167","Apantesis favorita",NA,"Apantesis","favorita","Arctiini","Arctiinae","Erebidae",1,NA
"1168","Apantesis fergusoni",NA,"Apantesis","fergusoni","Arctiini","Arctiinae","Erebidae",1,NA
"1169","Apantesis figurata","Figured Tiger Moth","Apantesis","figurata","Arctiini","Arctiinae","Erebidae",1,NA
"1170","Apantesis franconia",NA,"Apantesis","franconia","Arctiini","Arctiinae","Erebidae",1,NA
"1171","Apantesis hewletti",NA,"Apantesis","hewletti","Arctiini","Arctiinae","Erebidae",1,NA
"1172","Apantesis incorrupta",NA,"Apantesis","incorrupta","Arctiini","Arctiinae","Erebidae",1,NA
"1173","Apantesis margo",NA,"Apantesis","margo","Arctiini","Arctiinae","Erebidae",1,NA
"1174","Apantesis nais","Nais Tiger Moth","Apantesis","nais","Arctiini","Arctiinae","Erebidae",1,NA
"1175","Apantesis nevadensis","Nevada Tiger Moth","Apantesis","nevadensis","Arctiini","Arctiinae","Erebidae",1,NA
"1176","Apantesis obliterata",NA,"Apantesis","obliterata","Arctiini","Arctiinae","Erebidae",1,NA
"1177","Apantesis ornata",NA,"Apantesis","ornata","Arctiini","Arctiinae","Erebidae",1,NA
"1178","Apantesis parthenice","Parthenice Tiger Moth","Apantesis","parthenice","Arctiini","Arctiinae","Erebidae",1,NA
"1179","Apantesis phalerata","Harnessed Tiger Moth","Apantesis","phalerata","Arctiini","Arctiinae","Erebidae",1,NA
"1180","Apantesis philipiana",NA,"Apantesis","philipiana","Arctiini","Arctiinae","Erebidae",1,NA
"1181","Apantesis phyllira","Phyllira Tiger Moth","Apantesis","phyllira","Arctiini","Arctiinae","Erebidae",1,NA
"1182","Apantesis placentia","Placentia Tiger Moth","Apantesis","placentia","Arctiini","Arctiinae","Erebidae",1,NA
"1183","Apantesis proxima","Mexican Tiger Moth","Apantesis","proxima","Arctiini","Arctiinae","Erebidae",1,NA
"1184","Apantesis quenseli",NA,"Apantesis","quenseli","Arctiini","Arctiinae","Erebidae",1,NA
"1185","Apantesis speciosa",NA,"Apantesis","speciosa","Arctiini","Arctiinae","Erebidae",1,NA
"1186","Apantesis ursina",NA,"Apantesis","ursina","Arctiini","Arctiinae","Erebidae",1,NA
"1187","Apantesis virgo","Virgin Tiger Moth","Apantesis","virgo","Arctiini","Arctiinae","Erebidae",1,NA
"1188","Apantesis virguncula","Little Virgin Tiger Moth","Apantesis","virguncula","Arctiini","Arctiinae","Erebidae",1,NA
"1189","Apantesis vittata","Banded Tiger Moth","Apantesis","vittata","Arctiini","Arctiinae","Erebidae",1,NA
"1190","Apantesis williamsii","Williams' Tiger Moth","Apantesis","williamsii","Arctiini","Arctiinae","Erebidae",1,NA
"1191","Apantesis yavapai",NA,"Apantesis","yavapai","Arctiini","Arctiinae","Erebidae",1,NA
"1192","Apantesis yukona",NA,"Apantesis","yukona","Arctiini","Arctiinae","Erebidae",1,NA
"1193","Apatelodes auduboni",NA,"Apatelodes","auduboni",NA,"[Apatelodinae]","Apatelodidae",1,NA
"1194","Apatelodes pudefacta",NA,"Apatelodes","pudefacta",NA,"[Apatelodinae]","Apatelodidae",1,NA
"1195","Apatelodes torrefacta","Spotted Apatelodes Moth","Apatelodes","torrefacta",NA,"[Apatelodinae]","Apatelodidae",1,NA
"1196","Apeplopoda mecrida",NA,"Apeplopoda","mecrida","Arctiini","Arctiinae","Erebidae",1,NA
"1197","Aphelia alleniana","Allen's Tortrix Moth","Aphelia","alleniana","Archipini","Tortricinae","Tortricidae",1,NA
"1198","Aphelia gregalis",NA,"Aphelia","gregalis","Archipini","Tortricinae","Tortricidae",1,NA
"1199","Aphelia koebelei",NA,"Aphelia","koebelei","Archipini","Tortricinae","Tortricidae",1,NA
"1200","Aphelia septentrionalis",NA,"Aphelia","septentrionalis","Archipini","Tortricinae","Tortricidae",1,NA
"1201","Aphomia cephalonica","Rice Moth","Aphomia","cephalonica","Tirathabini","Galleriinae","Pyralidae",1,NA
"1202","Aphomia fulminalis",NA,"Aphomia","fulminalis","Tirathabini","Galleriinae","Pyralidae",1,NA
"1203","Aphomia gularis","Stored Nut Moth","Aphomia","gularis","Tirathabini","Galleriinae","Pyralidae",1,NA
"1204","Aphomia sociella","The Bee Moth","Aphomia","sociella","Tirathabini","Galleriinae","Pyralidae",1,NA
"1205","Aphomia terrenella","Terrenella Bee Moth","Aphomia","terrenella","Tirathabini","Galleriinae","Pyralidae",1,NA
"1206","Aphrissa neleis",NA,"Aphrissa","neleis",NA,"Coliadinae","Pieridae",1,NA
"1207","Aphrissa orbis",NA,"Aphrissa","orbis",NA,"Coliadinae","Pieridae",1,NA
"1208","Aphrissa statira",NA,"Aphrissa","statira",NA,"Coliadinae","Pieridae",1,NA
"1209","Apilocrocis brumalis",NA,"Apilocrocis","brumalis",NA,"Spilomelinae","Crambidae",1,NA
"1210","Apilocrocis pimalis","Pima Apilocrocis Moth","Apilocrocis","pimalis",NA,"Spilomelinae","Crambidae",1,NA
"1211","Aplectoides condita",NA,"Aplectoides","condita","Noctuini","Noctuinae","Noctuidae",1,NA
"1212","Aplocera plagiata","Treble-bar Moth","Aplocera","plagiata","Trichopterygini","Larentiinae","Geometridae",1,NA
"1213","Aplogompha polymygmata",NA,"Aplogompha","polymygmata","Baptini","Ennominae","Geometridae",1,NA
"1214","Apocrisias thaumasta",NA,"Apocrisias","thaumasta","Arctiini","Arctiinae","Erebidae",1,NA
"1215","Apoda biguttata","Shagreened Slug Moth","Apoda","biguttata",NA,"Limacodinae","Limacodidae",1,NA
"1216","Apoda latomia","Western Rectilinea Slug Moth","Apoda","latomia",NA,NA,NA,1,NA
"1217","Apoda maxima",NA,"Apoda","maxima",NA,"Limacodinae","Limacodidae",1,NA
"1218","Apoda rectilinea","Rectilinea Slug Moth","Apoda","rectilinea",NA,"Limacodinae","Limacodidae",1,NA
"1219","Apoda y-inversum","Yellow-collared Slug Moth","Apoda","y-inversum",NA,"Limacodinae","Limacodidae",1,NA
"1220","Apodemia chisosensis",NA,"Apodemia","chisosensis","Emesiini","Riodininae","Riodinidae",1,NA
"1221","Apodemia duryi",NA,"Apodemia","duryi","Emesiini","Riodininae","Riodinidae",1,NA
"1222","Apodemia mejicanus",NA,"Apodemia","mejicanus","Emesiini","Riodininae","Riodinidae",1,NA
"1223","Apodemia mormo",NA,"Apodemia","mormo","Emesiini","Riodininae","Riodinidae",1,NA
"1224","Apodemia multiplaga",NA,"Apodemia","multiplaga","Emesiini","Riodininae","Riodinidae",1,NA
"1225","Apodemia phyciodoides",NA,"Apodemia","phyciodoides","Emesiini","Riodininae","Riodinidae",1,NA
"1226","Apodemia virgulti",NA,"Apodemia","virgulti","Emesiini","Riodininae","Riodinidae",1,NA
"1227","Apodrepanulatrix liberaria",NA,"Apodrepanulatrix","liberaria","Caberini","Ennominae","Geometridae",1,NA
"1228","Apodrepanulatrix litaria",NA,"Apodrepanulatrix","litaria","Caberini","Ennominae","Geometridae",1,NA
"1229","Apogeshna stenialis","Checkered Apogeshna Moth","Apogeshna","stenialis",NA,"Spilomelinae","Crambidae",1,NA
"1230","Apomyelois bistriatella",NA,"Apomyelois","bistriatella","Phycitini","Phycitinae","Pyralidae",1,NA
"1231","Apomyelois ceratoniae","Locust Bean Moth","Apomyelois","ceratoniae","Phycitini","Phycitinae","Pyralidae",1,NA
"1232","Aponia aponianalis",NA,"Aponia","aponianalis",NA,"Pyraustinae","Crambidae",1,NA
"1233","Apophthisis congregata",NA,"Apophthisis","congregata",NA,"Ornixolinae","Gracillariidae",1,NA
"1234","Apophthisis pullata",NA,"Apophthisis","pullata",NA,"Ornixolinae","Gracillariidae",1,NA
"1235","Apotoforma rotundipennis",NA,"Apotoforma","rotundipennis","Tortricini","Tortricinae","Tortricidae",1,NA
"1236","Apotolype blanchardi",NA,"Apotolype","blanchardi",NA,"Macromphaliinae","Lasiocampidae",1,NA
"1237","Apotolype brevicrista",NA,"Apotolype","brevicrista",NA,"Macromphaliinae","Lasiocampidae",1,NA
"1238","Apotomis afficticia",NA,"Apotomis","afficticia","Olethreutini","Olethreutinae","Tortricidae",1,NA
"1239","Apotomis albeolana",NA,"Apotomis","albeolana","Olethreutini","Olethreutinae","Tortricidae",1,NA
"1240","Apotomis apateticana",NA,"Apotomis","apateticana","Olethreutini","Olethreutinae","Tortricidae",1,NA
"1241","Apotomis bifida",NA,"Apotomis","bifida","Olethreutini","Olethreutinae","Tortricidae",1,NA
"1242","Apotomis brevicornutana",NA,"Apotomis","brevicornutana","Olethreutini","Olethreutinae","Tortricidae",1,NA
"1243","Apotomis capreana","Sallow Apotomis Moth","Apotomis","capreana","Olethreutini","Olethreutinae","Tortricidae",1,NA
"1244","Apotomis coloradensis",NA,"Apotomis","coloradensis","Olethreutini","Olethreutinae","Tortricidae",1,NA
"1245","Apotomis deceptana","Deceptive Apotomis Moth","Apotomis","deceptana","Olethreutini","Olethreutinae","Tortricidae",1,NA
"1246","Apotomis frigidana",NA,"Apotomis","frigidana","Olethreutini","Olethreutinae","Tortricidae",1,NA
"1247","Apotomis funerea","Funereal Apotomis Moth","Apotomis","funerea","Olethreutini","Olethreutinae","Tortricidae",1,NA
"1248","Apotomis infida",NA,"Apotomis","infida","Olethreutini","Olethreutinae","Tortricidae",1,NA
"1249","Apotomis paludicolana",NA,"Apotomis","paludicolana","Olethreutini","Olethreutinae","Tortricidae",1,NA
"1250","Apotomis removana","Green Aspen Leafroller Moth","Apotomis","removana","Olethreutini","Olethreutinae","Tortricidae",1,NA
"1251","Apotomis spinulana",NA,"Apotomis","spinulana","Olethreutini","Olethreutinae","Tortricidae",1,NA
"1252","Apotomis spurinfida",NA,"Apotomis","spurinfida","Olethreutini","Olethreutinae","Tortricidae",1,NA
"1253","Apotomis tertiana",NA,"Apotomis","tertiana","Olethreutini","Olethreutinae","Tortricidae",1,NA
"1254","Apotomis trifida",NA,"Apotomis","trifida","Olethreutini","Olethreutinae","Tortricidae",1,NA
"1255","Apotomops texasana",NA,"Apotomops","texasana","Cochylini","Tortricinae","Tortricidae",1,NA
"1256","Apotomops wellingtoniana",NA,"Apotomops","wellingtoniana","Cochylini","Tortricinae","Tortricidae",1,NA
"1257","Apreta paradoxella",NA,"Apreta","paradoxella",NA,"Tineidae-unplaced","Tineidae",1,NA
"1258","Aproaerema adversa",NA,"Aproaerema","adversa","Anacampsini","Anacampsinae","Gelechiidae",1,NA
"1259","Aproaerema anthyllidella",NA,"Aproaerema","anthyllidella","Anacampsini","Anacampsinae","Gelechiidae",1,NA
"1260","Aproaerema crotolariella",NA,"Aproaerema","crotolariella","Anacampsini","Anacampsinae","Gelechiidae",1,NA
"1261","Aproaerema metadesma",NA,"Aproaerema","metadesma","Anacampsini","Anacampsinae","Gelechiidae",1,NA
"1262","Aproaerema nigrella",NA,"Aproaerema","nigrella","Anacampsini","Anacampsinae","Gelechiidae",1,NA
"1263","Aproaerema palpilineella",NA,"Aproaerema","palpilineella","Anacampsini","Anacampsinae","Gelechiidae",1,NA
"1264","Apsaphida eremna",NA,"Apsaphida","eremna","Psaphidini","Amphipyrinae","Noctuidae",1,NA
"1265","Apterona helicoidella",NA,"Apterona","helicoidella","Apteronini","Oiketicinae","Psychidae",1,NA
"1266","Apyrrothrix araxes",NA,"Apyrrothrix","araxes","Pyrrhopygini","Pyrginae","Hesperiidae",1,NA
"1267","Arachnis aulaea","Tiger Moth","Arachnis","aulaea","Arctiini","Arctiinae","Erebidae",1,NA
"1268","Arachnis citra",NA,"Arachnis","citra","Arctiini","Arctiinae","Erebidae",1,NA
"1269","Arachnis nedyma",NA,"Arachnis","nedyma","Arctiini","Arctiinae","Erebidae",1,NA
"1270","Arachnis picta","Painted tiger Moth","Arachnis","picta","Arctiini","Arctiinae","Erebidae",1,NA
"1271","Arachnis zuni",NA,"Arachnis","zuni","Arctiini","Arctiinae","Erebidae",1,NA
"1272","Araeolepia leuschneri",NA,"Araeolepia","leuschneri",NA,NA,"Copromorphidae",1,NA
"1273","Araeolepia subfasciella",NA,"Araeolepia","subfasciella",NA,NA,"Copromorphidae",1,NA
"1274","Araeolepia triangula",NA,"Araeolepia","triangula",NA,NA,"Copromorphidae",1,NA
"1275","Araeolepia ustulana",NA,"Araeolepia","ustulana",NA,NA,"Copromorphidae",1,NA
"1276","Aramos ramosa",NA,"Aramos","ramosa",NA,"Zeuzerinae","Cossidae",1,NA
"1277","Arawacus jada",NA,"Arawacus","jada","Eumaeini","Theclinae","Lycaenidae",1,NA
"1278","Archaeoprepona demophon",NA,"Archaeoprepona","demophon","Preponini","Charaxinae","Nymphalidae",1,NA
"1279","Archiearis infans","Infant Moth","Archiearis","infans",NA,"Archiearinae","Geometridae",1,NA
"1280","Archips alberta",NA,"Archips","alberta","Archipini","Tortricinae","Tortricidae",1,NA
"1281","Archips argyrospila","Fruit-tree Leafroller Moth","Archips","argyrospila","Archipini","Tortricinae","Tortricidae",1,NA
"1282","Archips cerasivorana","Ugly-nest Caterpillar Moth","Archips","cerasivorana","Archipini","Tortricinae","Tortricidae",1,NA
"1283","Archips dissitana","Boldly-marked Archips Moth","Archips","dissitana","Archipini","Tortricinae","Tortricidae",1,NA
"1284","Archips eleagnana",NA,"Archips","eleagnana","Archipini","Tortricinae","Tortricidae",1,NA
"1285","Archips fervidana","Oak Webworm Moth","Archips","fervidana","Archipini","Tortricinae","Tortricidae",1,NA
"1286","Archips fuscocupreanus","Exotic Leafroller Moth","Archips","fuscocupreanus","Archipini","Tortricinae","Tortricidae",1,NA
"1287","Archips georgiana",NA,"Archips","georgiana","Archipini","Tortricinae","Tortricidae",1,NA
"1288","Archips goyerana",NA,"Archips","goyerana","Archipini","Tortricinae","Tortricidae",1,NA
"1289","Archips grisea","Gray Archips Moth","Archips","grisea","Archipini","Tortricinae","Tortricidae",1,NA
"1290","Archips infumatana","Smoked Leafroller Moth","Archips","infumatana","Archipini","Tortricinae","Tortricidae",1,NA
"1291","Archips magnoliana",NA,"Archips","magnoliana","Archipini","Tortricinae","Tortricidae",1,NA
"1292","Archips mortuana",NA,"Archips","mortuana","Archipini","Tortricinae","Tortricidae",1,NA
"1293","Archips myricana",NA,"Archips","myricana","Archipini","Tortricinae","Tortricidae",1,NA
"1294","Archips negundana","Larger Boxelder Leafroller Moth","Archips","negundana","Archipini","Tortricinae","Tortricidae",1,NA
"1295","Archips nigriplagana",NA,"Archips","nigriplagana","Archipini","Tortricinae","Tortricidae",1,NA
"1296","Archips oporana",NA,"Archips","oporana","Archipini","Tortricinae","Tortricidae",1,NA
"1297","Archips packardiana","Spring Spruce Needle Moth","Archips","packardiana","Archipini","Tortricinae","Tortricidae",1,NA
"1298","Archips podana","Large Fruit-tree Tortrix Moth","Archips","podana","Archipini","Tortricinae","Tortricidae",1,NA
"1299","Archips purpurana","Omnivorous Leafroller Moth","Archips","purpurana","Archipini","Tortricinae","Tortricidae",1,NA
"1300","Archips rileyana","Southern Ugly-nest Caterpillar Moth","Archips","rileyana","Archipini","Tortricinae","Tortricidae",1,NA
"1301","Archips rosana","Rose Tortrix Moth","Archips","rosana","Archipini","Tortricinae","Tortricidae",1,NA
